Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHINA,Land,37577.0,41637.0,47154.0,54164.0,62355.0,71839.0,76280.0,83188.0,79794.0,91694.0,100345.0,102958.0,107137.0,107734.0,105503.0,108709.0,109430.0,106191.0,103690.0,102818.3,108267.7,114366.5,125577.7,129499.5,133010.59999999998,0.0,0.0,0.0
COLOMBIA,Air,294.0,495.0,546.0,645.0,510.0,520.0,549.0,507.0,551.0,701.0,834.0,936.0,1055.0,1068.0,1192.0,1145.9,1384.5,1284.1,1394.0,1576.7,1852.7,2094.2,2310.6,2570.1,2671.1,758.2,1234.0,2901.7
COLOMBIA,Water,70.0,193.0,162.0,149.0,181.0,150.0,175.0,96.0,44.0,51.0,50.0,52.0,128.0,231.0,6.0,9.8,16.9,14.4,18.6,28.9,29.9,32.9,39.8,42.6,44.2,11.1,6.4,22.7
COLOMBIA,Land,1035.0,63.0,50.0,0.0,34.0,37.0,64.0,58.0,73.0,88.0,97.0,116.0,139.0,151.0,155.0,61.3,69.4,66.8,74.4,89.4,102.2,113.9,115.4,96.4,98.7,22.4,8.8,115.9
COMOROS,Air,23.0,24.0,26.0,27.0,24.0,24.0,19.4,18.9,14.4,17.6,19.6,17.1,15.2,14.8,11.3,15.3,18.8,22.8,21.9,22.8,23.6,26.8,28.0,35.9,45.1,7.0,28.8,0.0
CONGO,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,115.0,136.0,150.0,151.0,163.2,132.5,97.4,95.7,0.0,0.0,0.0,0.0
CONGO,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,109.0,123.0,195.0,78.0,61.1,80.3,53.2,62.4,0.0,0.0,0.0,0.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Air,20.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,35.0,36.0,39.0,41.0,47.0,50.0,53.0,81.0,160.0,156.0,180.0,0.0,187.4,186.2,0.0,0.0,0.0,0.0,0.0,0.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Water,15.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,26.0,10.0,8.0,0.0,166.3,165.1,0.0,0.0,0.0,0.0,0.0,0.0
COSTA RICA,Air,581.0,560.0,582.0,669.0,734.0,801.0,812.0,798.0,928.0,1088.0,1244.0,1232.0,1357.0,1424.0,1320.0,1418.0,1464.0,1552.0,1617.4,1721.0,1859.0,2114.9,2189.2,2314.9,2418.3,789.8,1270.5,2118.0
COSTA RICA,Water,6.0,6.0,7.0,7.0,10.0,23.0,11.0,6.0,12.0,10.0,9.0,6.0,5.0,4.0,2.0,5.0,7.0,10.0,8.4,9.5,8.0,10.4,10.3,8.9,11.6,4.6,2.4,4.1
COSTA RICA,Land,198.0,215.0,223.0,266.0,287.0,264.0,308.0,309.0,299.0,355.0,427.0,487.0,618.0,661.0,601.0,677.0,721.0,781.0,802.0,796.4,793.0,799.8,760.3,692.9,709.1,217.5,74.2,227.5
COTE D´IVOIRE,Air,188.0,237.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,231.0,252.0,270.0,289.0,380.0,471.0,537.0,632.2,719.6,752.3,790.0,284.1,576.0,742.0
COTE D´IVOIRE,Land,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,951.0999999999999,1080.7,1212.3999999999999,1280.1,384.0,0.0,1305.0
CROATIA,Air,419.0,522.0,577.0,631.0,580.0,740.0,813.0,887.0,1006.0,1202.0,1566.0,1825.0,2033.0,2055.0,1947.0,2136.0,2299.0,2505.0,2689.0,2879.0,3119.0,3566.0,4222.3,4699.1,5153.4,882.1,2123.5,4531.1
CROATIA,Water,78.0,109.0,164.0,178.0,122.0,183.0,244.0,306.0,384.0,921.0,984.0,1036.0,1200.0,1367.0,1405.0,1542.0,1638.0,1619.0,1602.0,1451.0,1439.0,1506.0,1353.7,1497.8,1590.4,21.8,290.0,969.9
CROATIA,Land,15603.0,18454.0,22919.0,24690.0,28513.0,36303.0,39072.0,40543.0,41467.0,42851.0,43212.0,44872.0,49038.0,47914.0,44221.0,45328.0,46032.0,43061.0,44054.0,46838.0,51300.0,52515.0,53662.200000000004,51471.5,53276.9,20703.800000000003,31709.1,44522.3
CUBA,Air,742.0,999.0,1153.0,1390.0,1561.0,1741.0,1736.0,1656.0,1847.0,2017.0,2261.0,2150.0,2119.0,2316.0,2405.0,2507.0,2688.0,2823.0,2839.0,2981.0,3506.0,3975.0,4594.0,4684.0,4263.0,1085.0,356.0,1613.0
CURAÇAO,Air,224.0,214.0,205.0,206.0,212.0,205.0,219.0,226.0,228.0,233.0,234.0,250.0,323.0,420.0,385.0,378.0,436.0,471.0,487.0,500.0,506.5,474.3,423.2,452.4,483.1,180.2,272.1,500.6
CURAÇAO,Water,172.0,173.0,217.0,231.0,221.0,308.0,300.0,319.0,279.0,219.0,276.0,322.0,341.0,353.0,423.0,383.0,401.0,436.0,584.0,629.0,565.8,469.5,634.4,757.3,809.9,256.2,146.2,533.6
CYPRUS,Air,2159.0,2002.0,2099.0,2245.0,2451.0,2703.0,2717.0,2431.0,2320.0,2357.0,2479.0,2408.0,2425.0,2410.0,2145.0,2179.0,2410.0,2471.0,2419.0,2453.0,2672.0,3201.0,3673.0,3962.0,4004.6,0.0,0.0,0.0
CYPRUS,Water,94.0,87.0,95.0,112.0,127.0,209.0,124.0,64.0,96.0,121.0,178.0,221.0,246.0,221.0,225.0,271.0,216.0,163.0,207.0,135.0,108.0,85.0,77.0,62.0,112.3,0.0,0.0,0.0
DJIBOUTI,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,142.0,168.0,75.0,114.0,145.0
DOMINICA,Air,44.0,47.0,48.0,47.0,54.0,50.0,47.0,49.0,52.0,56.0,58.0,62.0,56.0,55.0,48.0,49.0,48.0,47.0,47.0,51.0,44.0,47.6,42.4,37.3,50.0,13.2,14.4,38.5
DOMINICA,Water,24.0,22.0,20.0,20.0,24.0,22.0,21.0,22.0,25.0,26.0,21.0,23.0,24.0,26.0,27.0,28.0,28.0,32.0,31.0,30.5,31.0,30.8,29.9,26.7,40.0,8.4,0.4,22.6
DOMINICAN REPUBLIC,Air,1776.0,1926.0,2211.0,2309.0,2649.0,2978.0,2882.0,2811.0,3282.0,3450.0,3691.0,3965.0,3980.0,3980.0,3992.0,4125.0,4306.0,4563.0,4690.0,5141.4,5600.0,5959.3,6188.0,6568.9,6446.0,2405.0,4994.3,7163.4
DOMINICAN REPUBLIC,Water,30.0,111.0,271.0,393.0,283.0,183.0,208.0,247.0,398.0,457.0,290.0,303.0,385.0,475.0,497.0,353.0,348.0,338.0,424.0,435.0,529.0,809.3,1108.0,982.0,1104.0,343.0,333.1,1325.4
ECUADOR,Air,281.0,307.0,348.0,353.0,343.0,383.0,422.0,432.0,450.0,496.0,540.0,557.0,639.0,714.0,699.0,750.0,783.0,848.3,959.0,1187.4,1176.7,1101.8,1138.2,1192.5,1220.5,394.6,651.3,1040.1
ECUADOR,Water,9.0,11.0,9.0,10.0,6.0,5.0,5.0,6.0,5.0,8.0,5.0,4.0,7.0,9.0,8.0,8.0,21.0,27.2,12.0,64.4,65.0,61.5,55.0,44.3,49.6,9.5,3.3,18.7
ECUADOR,Land,149.0,176.0,173.0,148.0,168.0,240.0,214.0,245.0,306.0,315.0,315.0,279.0,291.0,282.0,261.0,289.0,337.0,396.4,393.0,442.7,434.7,405.8,612.3,1298.3,837.6,103.2,14.8,206.1
EGYPT,Air,2075.5,2581.2,2744.57,2280.8,3541.5,4209.7,3790.2,4279.9,4840.9,6735.8,7209.5,7610.5,9435.7,10960.1,10773.4,12615.6,8158.8,9851.7,8237.4,9010.4,8521.0,4593.6,7300.3,9975.7,11316.6,3268.8,7342.3,10326.3
EGYPT,Water,90.7,204.8,173.9,144.1,148.3,173.2,159.8,151.4,156.5,178.2,234.5,223.2,268.2,286.8,242.5,277.5,185.4,234.7,232.9,125.6,100.2,92.8,91.4,100.0,100.4,13.9,32.6,73.5
EGYPT,Land,705.2,742.2,738.46,788.2,799.6,733.0,397.0,474.5,748.7,880.6,800.3,812.0,906.2,1048.6,897.7,1158.2,1152.7,1109.4,703.3,492.2,517.7,571.4,764.9,1120.2,1458.6,335.9,592.0,1225.2
EL SALVADOR,Air,154.0,164.0,206.0,189.0,230.0,234.0,224.0,253.0,262.0,449.0,499.0,483.0,527.0,490.0,430.0,426.0,470.0,541.0,589.0,591.3,599.0,615.8,642.5,727.4,772.9,293.0,813.0,1010.2
EL SALVADOR,Water,0.0,0.0,0.0,0.0,5.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
EL SALVADOR,Land,81.0,119.0,181.0,352.0,423.0,556.0,505.0,541.0,457.0,501.0,627.0,795.0,811.0,892.0,661.0,723.0,714.0,714.0,694.0,753.9,803.0,817.8,913.3,949.9,992.7,256.0,406.0,881.1
ERITREA,Air,56.0,58.0,62.0,35.0,26.0,34.0,59.0,51.0,49.0,51.0,45.0,35.0,38.0,38.0,35.0,40.0,42.0,79.0,48.0,45.0,32.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
ERITREA,Water,5.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ERITREA,Land,254.0,356.0,343.0,151.0,28.0,33.0,52.0,48.0,29.0,34.0,37.0,41.0,41.0,31.0,44.0,44.0,65.0,49.0,92.0,73.0,81.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTONIA,Air,105.0,130.0,135.0,150.0,0.0,149.0,152.0,161.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTONIA,Water,1585.0,1735.0,1770.0,1900.0,0.0,2221.0,2143.0,2212.0,2193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTONIA,Land,420.0,579.0,713.0,859.0,0.0,940.0,935.0,880.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESWATINI,Air,23.0,22.0,20.0,21.0,17.0,20.0,13.0,14.0,17.0,0.0,22.0,22.0,27.0,27.0,26.0,25.0,22.0,23.0,22.0,16.2,20.0,20.4,20.1,19.5,19.0,11.4,11.6,37.2
ESWATINI,Land,276.0,1315.0,1615.0,965.0,1236.0,1131.0,1299.0,1357.0,1526.0,0.0,1160.0,1178.0,1203.0,1159.0,1318.0,1317.0,1306.0,1256.0,1277.0,1308.4,1236.0,1258.2,1322.5,1257.7,1206.5,334.0,199.1,465.4
ETHIOPIA,Air,103.0,109.0,115.0,91.0,92.0,109.0,116.0,131.0,160.0,173.0,193.0,290.0,312.0,330.0,371.0,403.0,450.0,513.0,661.0,748.6,839.0,845.4,906.1,833.5,767.8,256.6,474.5,853.8
ETHIOPIA,Land,0.0,0.0,24.0,21.0,23.0,27.0,32.0,25.0,20.0,11.0,34.0,40.0,46.0,53.0,56.0,65.0,73.0,83.0,20.0,21.8,25.0,25.2,27.3,15.6,43.8,14.0,43.7,42.8
FIJI,Air,313.0,396.0,424.0,365.0,404.0,287.0,342.0,390.0,422.0,0.0,537.0,538.0,527.0,570.0,528.0,613.0,654.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIJI,Water,23.0,23.0,17.0,6.0,6.0,7.0,6.0,8.0,8.0,0.0,8.0,11.0,13.0,15.0,14.0,19.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINLAND,Air,0.0,0.0,0.0,1222.0,1208.0,1427.0,1558.0,1603.0,1577.0,1640.0,1734.0,1999.0,2049.0,2265.0,2036.0,2214.0,2533.0,2434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINLAND,Water,0.0,0.0,0.0,1247.0,1104.0,1218.0,1241.0,1362.0,1287.0,1449.0,1538.0,1593.0,1694.0,1637.0,1606.0,1580.0,1722.0,1865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FINLAND,Land,0.0,0.0,0.0,963.0,1051.0,1144.0,1453.0,1722.0,1663.0,1765.0,1766.0,1753.0,1993.0,2170.0,2053.0,2388.0,3005.0,3337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE,Air,0.0,9136.0,9670.0,0.0,0.0,0.0,11574.0,0.0,0.0,14882.0,16325.0,17825.0,20710.0,21895.0,19520.0,18593.6,21190.4,22233.1,23580.5,23670.0,26326.8,26350.3,27508.9,28880.3,29395.1,0.0,0.0,0.0
FRANCE,Water,0.0,4527.0,4990.0,0.0,0.0,0.0,4470.0,0.0,0.0,7558.0,7488.0,7793.0,7675.0,7309.0,6962.0,7055.8,6652.0,6094.5,6677.2,5256.0,5607.2,5094.3,5814.4,5774.6,5877.5,0.0,0.0,0.0
FRANCE,Land,0.0,48742.0,51931.0,0.0,0.0,0.0,59158.0,0.0,0.0,51993.0,51175.0,52298.0,52467.0,50014.0,50282.0,50997.5,52656.2,53652.100000000006,53376.0,54775.0,52517.5,51237.6,53434.9,54667.0,55641.399999999994,0.0,0.0,0.0
FRENCH GUIANA,Air,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,96.0,111.0,0.0,0.0,0.0,0.0,0.0
FRENCH POLYNESIA,Air,166.0,164.0,180.0,189.0,211.0,252.0,228.0,189.0,213.0,212.0,208.0,222.0,218.0,196.0,160.0,154.0,163.0,169.0,164.0,181.0,184.0,192.0,199.0,216.0,237.0,77.0,83.0,219.0
FRENCH POLYNESIA,Water,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABON,Air,125.0,145.0,167.0,195.0,178.0,155.0,169.0,208.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMBIA,Air,45.0,77.0,85.0,91.0,96.0,79.0,57.0,81.0,89.0,90.0,108.0,125.0,143.0,147.0,142.0,91.0,106.0,157.0,171.0,156.0,135.0,161.1,162.1,209.1,235.8,89.2,102.4,182.8
GAMBIA,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,11.9,10.5,13.2,8.9,11.7,12.8
GAMBIA,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,347.0,486.0,345.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,273.6,347.6,332.4,370.5,148.0,217.6,374.4
GEORGIA,Air,15.0,27.0,200.0,72.0,200.0,72.0,58.0,67.0,73.0,96.0,131.0,179.0,161.0,192.0,199.0,245.0,342.5,431.0,584.6,639.9,737.7,998.8,1439.7,1788.4,1829.3,269.2,877.2,1536.3
GEORGIA,Water,0.0,0.0,0.0,0.0,0.0,52.0,34.0,40.0,45.0,34.0,0.0,50.0,41.0,48.0,54.0,57.0,47.3,42.4,41.7,40.5,36.0,36.1,31.7,32.5,40.5,13.3,6.9,18.0
GEORGIA,Land,70.0,90.0,113.0,245.0,184.0,263.0,210.0,191.0,195.0,237.0,429.0,754.0,849.0,1050.0,1247.0,1730.0,2321.9,3632.5,4328.099999999999,4324.0,4482.3,4358.0,5011.4,5382.5,5855.9,1230.8999999999999,837.3,3149.5
GERMANY,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70924.0,75672.0,77771.0,79298.0,82072.0,85658.0,88747.0,94671.0,99763.0,102244.0,26432.0,34307.0,73226.0
GERMANY,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6151.0,6266.0,6420.0,6635.0,6422.0,6684.0,2412.0,3110.0,6028.0
GREECE,Air,8479.0,7684.0,8148.0,8646.0,9962.0,10454.0,10841.0,10438.0,10417.0,9974.0,10915.0,11509.0,11920.0,11692.0,10748.0,10637.0,11671.0,10993.0,12302.4,14057.0,14981.0,16330.7,17947.0,20385.7,20709.4,5550.4,11630.4,21113.8
GREECE,Water,1422.0,1127.0,1084.0,1282.0,1239.0,1308.0,1430.0,1535.0,1445.0,1510.0,1932.0,2255.0,1081.0,1080.0,1008.0,1031.0,948.0,790.0,807.0,701.0,632.0,860.8,973.3,934.9,1043.7,268.6,435.4,569.5
GREECE,Land,811.0,971.0,1357.0,1436.0,1405.0,1805.0,2408.0,2945.0,2923.0,2784.0,3090.0,3520.0,3163.0,3167.0,3159.0,3339.0,3808.0,3734.0,4810.2,7275.0,7986.0,7607.9,8273.9,8802.2,9595.3,1555.3999999999999,2639.0,6152.2
GRENADA,Air,95.0,94.0,98.0,104.0,115.0,118.0,112.0,121.0,134.0,128.0,94.0,114.0,125.0,125.0,109.0,105.0,114.0,105.0,106.0,125.0,133.0,135.4,146.4,161.0,163.0,43.8,42.1,133.2
GRENADA,Water,13.0,14.0,13.0,12.0,11.0,10.0,11.0,11.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,19.0,20.0,22.0,25.0,22.0,20.2,22.0,25.0,25.0,10.4,4.7,15.8
GUADELOUPE,Air,0.0,625.0,660.0,580.0,561.0,603.0,521.0,0.0,439.0,456.0,372.0,393.0,408.0,412.0,347.0,392.0,317.0,325.0,487.0,486.0,512.0,581.0,650.0,735.0,0.0,0.0,0.0,0.0
GUADELOUPE,Water,0.0,611.0,470.0,334.0,293.0,392.0,238.0,148.0,130.0,104.0,73.0,72.0,91.0,115.0,111.0,105.0,102.0,162.0,158.0,234.0,310.0,276.0,320.0,431.0,0.0,0.0,0.0,0.0
GUAM,Air,1350.0,1362.0,1373.0,1129.0,1156.0,1279.0,1124.0,1031.0,857.0,1121.0,1185.0,1184.0,1181.0,1093.0,1044.0,1188.0,1150.0,1298.6,1328.7,1331.0,1400.0,1517.4,1522.4,1532.4,1655.7,326.6,78.4,327.6
GUAM,Water,11.0,10.0,8.0,8.0,6.0,8.0,35.0,28.0,52.0,39.0,43.0,28.0,44.0,49.0,8.0,9.0,10.0,9.0,5.7,12.0,9.0,18.1,23.0,16.6,11.0,1.6,1.0,0.8
GUATEMALA,Air,299.0,269.0,303.0,331.0,358.0,366.0,408.0,403.0,402.0,434.0,480.0,497.0,558.0,556.0,494.4,520.9,508.2,536.7,552.5,598.0,640.3,681.6,737.9,783.3,806.2,205.4,358.7,747.4
GUATEMALA,Water,22.0,19.0,42.0,47.0,27.0,10.0,11.0,15.0,26.0,34.0,31.0,63.0,52.0,71.0,91.6,83.4,83.4,83.0,83.0,81.6,87.0,112.6,129.0,150.4,130.8,42.0,3.9,26.0
GUATEMALA,Land,242.0,232.0,232.0,258.0,438.0,450.0,417.0,466.0,452.0,714.0,805.0,942.0,1017.0,1088.0,724.8,779.4,842.7,870.9,880.4,1059.2,1137.9,1112.0,1246.2,1472.2,1622.6,346.6,303.4,1071.3
GUINEA,Air,0.0,12.0,17.0,23.0,27.0,33.0,36.4,40.6,44.0,42.0,45.0,46.1,30.0,23.7,0.0,12.4,131.0,96.0,56.0,33.0,35.0,63.0,99.0,0.0,0.0,0.0,0.0,0.0
GUINEA,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUINEA,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUINEA-BISSAU,Air,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,5.0,11.6,15.6,18.0,16.0,22.3,36.7,35.4,35.5,36.1,43.8,45.2,49.5,55.0,52.4,0.0,0.0,0.0
GUYANA,Air,88.0,81.0,68.0,0.0,0.0,0.0,0.0,104.0,101.0,122.0,117.0,113.0,134.0,130.0,141.0,152.0,157.0,177.0,0.0,0.0,173.4,201.2,216.3,255.1,286.7,77.3,154.0,269.1
GUYANA,Water,18.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,23.7,21.5,22.5,18.6,6.8,3.2,12.9
GUYANA,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,10.5,9.5,9.1,9.4,2.4,1.1,6.4
HAITI,Air,145.0,150.0,149.0,147.0,143.0,140.0,142.0,140.0,136.0,96.0,112.0,108.0,386.0,258.0,387.0,255.0,349.0,349.2,420.0,465.2,516.0,445.0,467.0,447.4,286.0,203.0,148.0,0.0
HAITI,Water,0.0,0.0,0.0,0.0,0.0,305.0,357.0,342.0,382.0,289.0,368.0,450.0,482.0,500.0,439.0,538.0,597.0,610.0,644.0,662.4,674.0,708.0,795.0,885.2,652.0,119.0,0.0,0.0
HONDURAS,Air,205.0,201.0,189.0,206.0,227.0,237.0,230.0,210.0,248.0,259.0,301.0,352.0,383.0,398.0,391.0,401.0,426.0,378.3,394.0,413.0,427.4,457.0,572.0,604.3,459.8,128.8,327.7,478.1
HONDURAS,Water,4.0,3.0,7.0,5.0,5.0,13.0,17.0,20.0,19.0,20.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONDURAS,Land,61.0,59.0,110.0,110.0,139.0,221.0,271.0,320.0,344.0,362.0,348.0,361.0,421.0,470.0,445.0,462.0,445.0,516.4,469.0,455.0,452.9,381.0,278.2,242.5,264.4,75.5,131.4,366.3
"HONG KONG, CHINA",Air,6823.0,7532.0,6342.0,5571.0,6062.0,6709.0,6530.0,6891.0,4981.0,7015.0,7803.0,8625.0,9223.0,9114.0,8624.0,10187.0,11026.0,11559.0,12332.0,12849.0,13172.8,13398.5,13704.6,14386.7,11869.8,853.1,21.7,501.4
"HONG KONG, CHINA",Water,1055.0,2882.0,2363.0,1957.0,1999.0,2096.0,2149.0,2509.0,2206.0,2827.0,2788.0,3076.0,3793.0,3975.0,3343.0,3981.0,4469.0,4694.0,5056.0,5181.0,4756.5,4688.1,4830.6,4825.7,2918.0,169.49,9.3,6.4
"HONG KONG, CHINA",Land,2322.0,2560.0,2568.0,2632.0,3267.0,4254.0,5046.0,7166.0,8350.0,11969.0,12768.0,13550.0,15153.0,16418.0,17624.0,21863.0,26426.0,32362.0,36911.0,42809.0,41378.3,38568.3,39936.9,45935.2,41124.8,2546.3,60.4,96.8
HUNGARY,Air,892.0,1183.0,1349.0,1496.0,1823.0,1735.0,1391.0,1302.0,1730.0,2282.0,2084.0,2110.0,2230.0,2923.0,3258.0,3205.0,3531.0,3305.0,3518.0,3724.0,4408.0,4936.8,5441.0,6113.4,7029.1,1840.7,2163.4,4438.3
