country,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LESOTHO,Thousands,1/,VF,209,312,313,290,308,302,295,287,329,304,304,357,300,293,344,426,398,423,433,1079,1082,1196,1137,1173,1142,..,279,..
LIBERIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIBYA,Thousands,,VF,1832,1276,913,850,965,963,953,858,958,..,..,125,106,760,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIECHTENSTEIN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LITHUANIA,Thousands,,VF,2600,3497,3702,4287,4454,4092,4195,3999,3635,..,..,..,4251,4459,4001,4073,4504,4979,5264,5217,5048,5322,5590,6115,6150,2284,2096,4725
LUXEMBOURG,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"MACAO, CHINA",Thousands,,VF,7752,8151,7000,6949,7444,9162,10279,11531,11888,16673,18711,21998,27003,22933,21753,24965,28002,28082,29325,31526,30715,30950,32611,35804,39406,5897,7706,5700.3
MADAGASCAR,Thousands,,VF,115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282,333,285,360,486,87.1,7.8,..
MALAWI,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALAYSIA,Thousands,,VF,14885,14084,12591,10886,13910,17213,22995,20756,16293,24432,24209,25298,28325,25321,31509,..,..,..,..,..,..,..,..,..,35046,6102,399,19016
MALDIVES,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALI,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALTA,Thousands,1/,VF,1193,1123,1238,1326,1402,1387,1439,1483,1512,1428,1484,1521,1723,1832,1608,1815,1916,2007,2013,2162,2383,2592,2944,3232,3519,718,1110,2776.2
MARSHALL ISLANDS,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,7.9,..,..,2,..,..
MARTINIQUE,Thousands,,VF,885,885,900,964,903,816,663,654,722,630,577,599,573,568,511,553,538,603,622,696,762,842,1003,1002,919,523.6,312,661
MAURITANIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAURITIUS,Thousands,,VF,437,509,558,579,600,678,675,709,721,739,782,807,933,970,890,956,983,984,1015,1065,1174,1307,1371,1431,1418,315.6,180.3,1003.1
MEXICO,Thousands,,VF,85446,90394,92915,95214,99869,105673,100718,100153,92330,99250,103146,97701,93582,92948,88044,81953,75732,76749,78100,81042,87129,94853,99349,96497,97406,51128,55301,65995
"MICRONESIA, FEDERATED STATES OF",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"MOLDOVA, REPUBLIC OF",Thousands,1/,VF,32.8,28.9,21.2,19.9,14.1,19,15.7,20.2,23.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONACO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONGOLIA,Thousands,,VF,108,71,82,197,160,158,192,235,205,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598,637,66.9,39.2,301
MONTENEGRO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONTSERRAT,Thousands,,VF,19.3,9,6.1,9.4,13,14.3,15.6,15,13.6,15.2,13.1,9.5,8.7,8.4,7.3,7.7,7.4,9.905,8.7,10.7,13.3,13.5,18.6,16.7,19.3,7.7,1.6,..
MOROCCO,Thousands,,VF,2752,2856,3203,3267,4088,4458,4596,4709,5021,5732,6077,6777,7701,8209,8661,9752,9784,9830,10349,10507,10542,10677,11540,12489,13109,2802,3722,10968
MOZAMBIQUE,Thousands,,VF,..,..,..,..,..,..,404,943,726,711,954,1095,1259,1439,1711,1836,2013,2206,1970,1751,1634,1715,1514,2870,2033,959,549,879
MYANMAR,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NAMIBIA,Thousands,,VF,421,560,610,681,694,759,700,799,739,986,856,961,1048,1079,1100,1114,1163,1245,1327,1429,1488,1551,1581,1639,1651,187.1,261.3,528
NAURU,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEPAL,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NETHERLANDS,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEW CALEDONIA,Thousands,,VF,122,138,139,127,151,161,152,158,166,177,182,219,227,256,230,282,348,390,494,529,558,625,626,576,474,79,..,139
NEW ZEALAND,Thousands,1/,VF,1409,1529,1497,1485,1607,1787,1909,2045,2104,2334,2366,2409,2455,2483,2473,2530,2617,2574,2710,2854,3129,3494,3723,3858,3888,996,207,1434
NICARAGUA,Thousands,,VF,341,388,453,483,530,581,584,579,646,735,804,891,978,1011,1010,1071,1122,1233,1273,1390,1456,1596,1958,1412,1455,474,312.4,932.7
NIGER,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NIGERIA,Thousands,,VF,1031,1230,1292,1357,1425,1492,1753,2046,2253,2646,2778,3056,5239,5820,6053,6113,3765,4673,4038,4803,6017,5265,5182,5254,5361,1209,1246,1271
NIUE,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.600000000000001,..,..,..,..,..
NORTH MACEDONIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NORTHERN MARIANA ISLANDS,Thousands,,VF,676,736,695,490,502,529,444,476,459,536,507,436,389,397,354,379,341,401,439,460,479,531,660,518,487,89,12.7,96.6
NORWAY,Thousands,,VF,..,..,..,5045,5123,5121,5115,4543,4686,5130,5418,5738,6017,6054,6114,6578,6693,..,..,..,..,..,..,..,..,..,..,..
OMAN,Thousands,,VF,..,..,..,..,..,..,1095,1112,1210,1407,1101,1385,1360,1540,1584,1500,1393,1714,1923,2225,2634,3207,3178,3242,3506,869,652,2920
PAKISTAN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PALAU,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PANAMA,Thousands,1/,VF,417,443,504,529,555,600,737,800,897,1004,1070,1215,1428,1575,1562,1726,2004,2086,2202,2305,2553,2379,2517,2487,2494,647,804,1946
PAPUA NEW GUINEA,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,120,126,146,165,175,182,191,199,198,182,195,211,39,17,69.4
PARAGUAY,Thousands,1/,VF,15678,12868,10955,9818,6569,3924,3550,3194,2859,2589,2648,2830,3005,3118,3183,3171,3365,3655,3538,3455,4102,4318,4744,4183,4368,1077,571,1548
PERU,Thousands,,VF,..,..,..,..,..,..,..,1304,1380,1650,1938,2227,2451,2581,2681,2948,3299,3642,4010,4062,4381,4718,4992,5384,5275,1119,444,2278.5
PHILIPPINES,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
POLAND,Thousands,1/,VF,82244,87439,87817,88592,89118,84515,61431,50735,52130,61918,64606,65115,66208,59935,53840,58340,60745,67390,72310,73750,77743,80476,83804,85946,88515,51076,51026,71814
PORTUGAL,Thousands,1/,VF,23066,23252,24244,26560,27016,28014,28150,27194,27532,21165,21173,22588,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PUERTO RICO,Thousands,,VF,4087,4110,4350,4671,4221,4566,4908,4364,4402,4889,5073,5022,5062,5213,4415,4379,4214,4197,4210,4456,5051,5003,4927,4260,4931,3882,2754.7,3637.5
QATAR,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1482,1700,2057,2324,2612,2839,2941,2938,2256,1819,2136.5,582,611,2560
REUNION,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,551,574,601,255.1,..,..
ROMANIA,Thousands,,VF,5445,5205,5149,4831,5224,5264,4938,4794,5595,6600,5839,6037,7722,8862,7575,7498,7611,7937,8019,8442,9331,10223,10926,11720,12815,5023,6789,12697
RUSSIAN FEDERATION,Thousands,,VF,10290,16208,17463,16188,18820,21169,21595,23309,22521,22064,22201,22486,22909,23676,21339,22281,24932,28177,30792,32421,33729,24571,24390,24551,24419,6359,..,..
RWANDA,Thousands,1/,VF,..,..,..,..,..,..,..,..,..,..,..,531,610,669,664,667,908,1061,1122,1220,1298,1377,1570,1711,1634,497,511,..
SABA,Thousands,,VF,25,24.3,28.6,25.4,24.3,24.4,23.9,21.5,20.5,23.2,24.9,22.9,21.7,22.5,23.7,22.5,..,..,..,..,..,..,..,..,..,..,..,..
SAINT KITTS AND NEVIS,Thousands,,VF,203,172,194,250,226,247,334,240,247,383,365,350,379,533,548,624,723,666,695,818,1036,1055,1194,1278,1107,301.4,122.6,589.1
SAINT LUCIA,Thousands,2/,VF,407,422,563,629,666,727,747,648,683,791,720,670,905,925,982,984,950,889,921,987,1031,948,1064,1165,1220,432.5,297,714
SAINT VINCENT AND THE GRENADINES,Thousands,,VF,218,216,200,202,223,256,254,247,242,262,256,306,328,250,271,231,208,200,200,205,207,227,303.6,356,399,155,56.7,210
SAMOA,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,116,122,122,129,130,128,135,125,132,139,146,158,172,181,23.9,2.6,50.6
SAN MARINO,Thousands,1/ 2/,VF,3368,3345,3308,3264,3148,3071,3036,3102,2882,2812,2107,2136,2164,2112,2056,1976,2038,1869,1905,2004,1888,2000,1937,1874,1904,1015,1354,..
SAO TOME AND PRINCIPE,Thousands,,VF,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAUDI ARABIA,Thousands,,VF,4398,..,..,..,..,..,..,..,..,11083,10417,10962,13479,17717,13319,13025,15776,19847,19934,23010,21834,20887,18607,17570,20292,4882,3869,18256
SENEGAL,Thousands,,VF,..,..,..,..,..,..,..,..,502,677,779,876,879,877,815,906,977,967,1069,976,1014,1219,1376,..,..,..,..,..
SERBIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SERBIA AND MONTENEGRO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SEYCHELLES,Thousands,,VF,127,142,136,134,130,140,138,135,127,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405,428,124.5,183,339
SIERRA LEONE,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,95,53,31,60,59,66,71,26,44,..
SINGAPORE,Thousands,,VF,7137,7292,7198,6242,6958,7691,7522,7567,6127,8329,8943,9751,10285,10116,9683,11642,13171,14496,15568,15095,15231.5,16403,17425,18508,19116,2742,330,6306
SINT EUSTATIUS,Thousands,,VF,25,24,25,25,25,27,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINT MAARTEN (DUTCH PART),Thousands,,VF,1024,1022,1325,1339,1061,1300,1271,1436,1600,1823,1956,1890,1891,1821,1655,1956,2080,2210,2253,2502,2407,2197,1640,1775,1952,542,482,1217
SLOVAKIA,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12583,11556,14936,17376,15406,15299,16086,..,..,..
SLOVENIA,Thousands,,VF,63674,71876,76568,65587,60009,63580,61878,60031,59388,63013,60230,58274,61293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOLOMON ISLANDS,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOMALIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOUTH AFRICA,Thousands,,VF,4684,5186,5170,5898,6026,6001,5908,6550,6640,6815,7518,8509,9208,9729,9532,11303,12097,13069,14318,14530,13952,15121,14975,15004,14797,3886.6,2664,7342
SOUTH SUDAN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SPAIN,Thousands,,VF,52460,55077,62415,68068,72040,74580,75564,79313,82326,85981,92563,96152,98907,97670,91899,93744,99187,98128,103231,107144,109834,115561,121717,124456,126170,36410,51631,104968
SRI LANKA,Thousands,,VF,414,315,384,409,465,445,397,457,583,681,669,689,592,526,538,766,976,1133,1415,1665,1993,2168,2248,2521,2027,540,195,758.8
STATE OF PALESTINE,Thousands,,VF,..,795,685,767,907,1055,..,..,..,..,..,..,928,1487,1740,2821,2730,3051,2874,2907,2054,2231,3192,3429,4232,1000,..,..
SUDAN,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SURINAME,Thousands,,VF,69,74,78,70,72,72,68,..,100,..,..,154,167,151,151,206,221,240,250,253,229,257,279,..,..,..,..,..
SWEDEN,Thousands,1/ 2/,VF,..,..,..,..,..,..,7432,7457,7627,..,..,..,..,..,..,..,19405,20011,18803,19945,..,..,..,..,..,..,..,..
SWITZERLAND,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SYRIAN ARAB REPUBLIC,Thousands,1/,VF,2253,2435,2332,2464,2682,3412,3671,4678,4837,6334,5859,5682,5434,6951,7721,10970,6476,..,..,..,..,1043,1291,1802,2424,479,661,..
TAIWAN PROVINCE OF CHINA,Thousands,1/,VF,2332,2358,2372,2299,2411,2624,2831,2978,2248,2950,3378,3520,3716,3845,4395,5567,6087,7311,8016,9910,10440,10690,10740,11067,11864,1378,140,896
TAJIKISTAN,Thousands,,VF,..,0.7,2.1,3.2,4.5,7.7,5.2,..,..,..,..,..,..,325,207,160,183,244,208,213,414,344,431,1035,1257,351,296,..
"TANZANIA, UNITED REPUBLIC OF",Thousands,,VF,295,326,360,482,627,501,525,575,576,583,613,644,719,770,714,783,868,1077,1096,1140,1137,1284,1327,1506,1527,621,1027,..
THAILAND,Thousands,,VF,..,7434,7530,8204,9151,10096,10751,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TIMOR-LESTE,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TOGO,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TONGA,Thousands,,VF,33,31,29,35,44,43,38,45,51,51,60,54,65,65,74.7,65,68.4,57.2,59.7,65.8,72.6,86.7,86.6,77.3,94,11.5,0.2,22.3
TRINIDAD AND TOBAGO,Thousands,,VF,282,317,360,377,421,503,468,451,474,501,529,534,531,482,534,490,491,504,467,458.6,521.7,498.3,469.8,507.8,481.5,141.1,41.1,253.3
TUNISIA,Thousands,,VF,4186,3986,4392,4831,5000,5244,5663,5322,5492,6419,6975,7176,7512,7750,8507,8640,6038,..,..,..,..,..,..,..,..,..,..,..
TÜRKIYE,Thousands,1/,VF,7727,8614,9689,9753,7487,10428,11619,13256,14030,17517,21125,19820,27215,31138,31760,32997,36769,37715,39861,41627,41114,30907,37970,46113,51747,15971,30039,51388
TURKMENISTAN,Thousands,,VF,233,282,332,380,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TURKS AND CAICOS ISLANDS,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,757,865,899,1010,968,1069,1330,1316,1296,1243,1463,1599,370.4,432,..
TUVALU,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UGANDA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UKRAINE,Thousands,,VF,6127,6750,14743,12003,10990,11691,11877,12793,15161,18583,20489,21714,26162,28827,24033,24114,24535,25061,26025,13227,13025,13734,14579,14342,13710,3382,4272,2307
UNITED ARAB EMIRATES,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19313,20894,21805,23092,25282,8084,12784,..
UNITED KINGDOM,Thousands,1/,VF,23537,25163,25515,25745,25394,25209,22835,24180,24715,27755,29970,32713,32778,31888,31072,30398,31886,32221,33567,35337,36792,39129,41080,40283,40857,11101,6384,31244
UNITED STATES OF AMERICA,Thousands,,VF,79732,82756,82525,74767,75796,78343,70975,64434,62082,67606,71484,183178,175299,175703,160508,162275,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478,44792,66594,..
UNITED STATES VIRGIN ISLANDS,Thousands,,VF,1741,1779,2128,2139,1964,2396,2497,2337,2395,2620,2602,2571,2606,2435,2245,2531,2686,2640,2702,2814,2643,2574,1954,1922,2074,862,1072.4,..
URUGUAY,Thousands,,VF,2177,2258,2463,2324,2273,2236,2136,1354,1508,1871,1917,1824,1815,2255,2303,2708,3244,3155,3242,3195,3286,3632,4219,3954,3480,..,234,..
UZBEKISTAN,Thousands,,VF,92,173,960,811,487,302,345,332,231,262,242,560,903,1069,1215,975,1393,1895,1969,1862,1918,2027,2690,5346,6749,1504,1881,5233
VANUATU,Thousands,,VF,82,103,81,78,96,106,106,99,102,99,126,154,167,196.6,225.5,237.7,248.9,321,357,329,287,351.6,332.7,350.2,256,82.4,..,65
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Thousands,,VF,879,960,933,813,702,602,792,590,435,618,846,883,898,702,567,535,625,1061,1085,967,882,681,429,..,..,..,..,..
VIET NAM,Thousands,1/,VF,1351,1607,1716,1520,1782,2140,2330,2628,2429,2928,3477,3583,4229,4236,3747,5050,6014,6848,7572,7874,7944,10013,12922,15498,18009,3837,157,3661
YEMEN,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1035,1175,1282,1323,1218,398,..,..,..,..,..,..,..
ZAMBIA,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ZIMBABWE,Thousands,,VF,1416,1597,1336,2090,2250,1967,2217,2041,2256,1854,1559,2287,2506,1956,2017,2239,2423,1794,1833,1880,2057,2168,2423,2580,2294,639,381,1044
